196.18.131.109,8800
104.144.234.119,8800
196.18.128.11,8800
80.79.122.21,8800
196.18.128.160,8800
80.79.122.184,8800
104.144.234.112,8800
104.144.234.62,8800
196.18.131.74,8800
104.144.234.244,8800
193.107.200.48,8800
192.186.152.20,8800
196.17.84.166,8800
104.227.239.157,8800
196.17.84.71,8800
192.126.208.148,8800
104.227.239.191,8800
192.126.205.8,8800
192.186.179.51,8800
196.17.87.199,8800
192.126.208.144,8800
193.107.200.222,8800
192.126.208.217,8800
144.168.189.145,8800
104.227.239.243,8800
193.107.200.57,8800
144.168.189.250,8800
192.126.208.189,8800
196.17.87.229,8800
196.17.84.61,8800
193.107.200.76,8800
196.17.87.148,8800
192.186.179.60,8800
196.17.87.5,8800
104.227.239.214,8800
196.17.84.232,8800
144.168.179.240,8800
196.17.84.96,8800
192.186.152.18,8800
193.107.200.3,8800
144.168.179.228,8800
192.186.152.25,8800
192.126.205.243,8800
192.126.205.235,8800
192.126.205.2,8800
144.168.179.221,8800
144.168.179.181,8800
192.126.205.253,8800
192.126.205.63,8800
192.186.179.48,8800
192.186.152.21,8800
144.168.189.178,8800
144.168.179.200,8800
144.168.179.205,8800
193.107.200.249,8800
144.168.179.218,8800
144.168.189.219,8800
196.17.87.47,8800
192.126.208.61,8800
144.168.189.236,8800
104.227.239.230,8800
193.107.200.31,8800
144.168.189.249,8800
192.186.152.31,8800
196.17.87.79,8800
196.17.87.196,8800
196.17.84.160,8800
192.186.152.26,8800
144.168.189.211,8800
104.227.239.168,8800
196.17.84.51,8800
192.186.179.55,8800
193.107.200.134,8800
196.17.87.225,8800
192.126.208.121,8800
196.17.84.174,8800
192.126.205.189,8800
193.107.200.116,8800
144.168.189.251,8800
192.126.208.116,8800
193.107.200.210,8800
192.186.179.61,8800
104.227.239.169,8800
192.186.179.54,8800
192.186.152.28,8800
192.126.205.130,8800
192.186.179.63,8800
144.168.179.139,8800
192.126.208.124,8800
192.186.152.27,8800
192.186.152.19,8800
192.126.208.15,8800
144.168.179.191,8800
192.186.152.17,8800
144.168.179.193,8800
104.227.239.146,8800
104.227.239.254,8800
192.126.208.146,8800
192.126.205.194,8800
144.168.189.202,8800
192.126.205.140,8800
196.17.84.210,8800
196.17.87.40,8800
104.227.239.170,8800
196.17.87.85,8800
192.186.179.52,8800
192.186.179.62,8800
192.186.179.53,8800
144.168.189.201,8800
196.17.84.223,8800
